chart_id,body,expected_longitude,actual_longitude,deviation_deg,deviation_arcsec,tolerance_deg,within_tolerance
jfk,Neptune,122.6718,122.6757,0.0039,13.88,0.01,PASS
jfk,Pluto,93.2685,93.2691,0.0006,2.1,0.01,PASS
reykjavik_summer,Sun,90.0503,90.0503,0.0,0.16,0.01,PASS
reykjavik_summer,Moon,125.7288,125.7292,0.0004,1.35,0.02,PASS
reykjavik_summer,Mercury,105.7091,105.71,0.0009,3.33,0.01,PASS
reykjavik_summer,Venus,44.5514,44.5518,0.0004,1.45,0.01,PASS
reykjavik_summer,Mars,98.0056,98.0058,0.0002,0.58,0.01,PASS
reykjavik_summer,Jupiter,316.5283,316.5272,0.0011,3.93,0.01,PASS
reykjavik_summer,Saturn,232.3815,232.3823,0.0008,2.85,0.01,PASS
reykjavik_summer,Uranus,255.3932,255.3919,0.0013,4.83,0.01,PASS
reykjavik_summer,Neptune,272.3023,272.2998,0.0025,8.95,0.01,PASS
reykjavik_summer,Pluto,212.0443,212.0451,0.0008,3.01,0.01,PASS
ushuaia_winter,Sun,269.5703,269.5701,0.0002,0.66,0.01,PASS
ushuaia_winter,Moon,26.2201,26.22,0.0001,0.23,0.02,PASS
ushuaia_winter,Mercury,248.6937,248.6939,0.0002,0.69,0.01,PASS
ushuaia_winter,Venus,262.5923,262.5924,0.0001,0.2,0.01,PASS
ushuaia_winter,Mars,214.1337,214.1332,0.0005,1.71,0.01,PASS
ushuaia_winter,Jupiter,316.0843,316.084,0.0003,1.0,0.01,PASS
ushuaia_winter,Saturn,244.0245,244.0256,0.0011,3.81,0.01,PASS
ushuaia_winter,Uranus,258.8773,258.8759,0.0014,5.16,0.01,PASS
ushuaia_winter,Neptune,273.1893,273.187,0.0023,8.14,0.01,PASS
ushuaia_winter,Pluto,216.6475,216.6483,0.0008,2.93,0.01,PASS
quito_equinox,Sun,180.1951,180.1951,0.0,0.11,0.01,PASS
quito_equinox,Moon,167.8744,167.8745,0.0001,0.23,0.02,PASS
quito_equinox,Mercury,200.0874,200.0859,0.0015,5.4,0.01,PASS
quito_equinox,Venus,189.3248,189.325,0.0002,0.72,0.01,PASS
quito_equinox,Mars,221.0181,221.0185,0.0004,1.39,0.01,PASS
quito_equinox,Jupiter,249.3872,249.3889,0.0017,6.03,0.01,PASS
quito_equinox,Saturn,350.6437,350.6429,0.0008,3.03,0.01,PASS
quito_equinox,Uranus,296.5944,296.5922,0.0022,7.93,0.01,PASS
quito_equinox,Neptune,292.81,292.8116,0.0016,5.67,0.01,PASS
